"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"2146","Killed Casualties (Number)","2006","Motor cyclists","Male","10 - 14 years",0
"2147","Injured Cassualties (Number)","2006","Motor cyclists","Male","10 - 14 years",3
"2148","All Killed and Injured Casualties (Number)","2006","Motor cyclists","Male","10 - 14 years",3
"2149","Killed Casualties (Number)","2007","Motor cyclists","Male","10 - 14 years",0
"2150","Injured Cassualties (Number)","2007","Motor cyclists","Male","10 - 14 years",1
"2151","All Killed and Injured Casualties (Number)","2007","Motor cyclists","Male","10 - 14 years",1
"2152","Killed Casualties (Number)","2008","Motor cyclists","Male","10 - 14 years",0
"2153","Injured Cassualties (Number)","2008","Motor cyclists","Male","10 - 14 years",2
"2154","All Killed and Injured Casualties (Number)","2008","Motor cyclists","Male","10 - 14 years",2
"2155","Killed Casualties (Number)","2009","Motor cyclists","Male","10 - 14 years",0
"2156","Injured Cassualties (Number)","2009","Motor cyclists","Male","10 - 14 years",2
"2157","All Killed and Injured Casualties (Number)","2009","Motor cyclists","Male","10 - 14 years",2
"2158","Killed Casualties (Number)","2010","Motor cyclists","Male","10 - 14 years",0
"2159","Injured Cassualties (Number)","2010","Motor cyclists","Male","10 - 14 years",3
"2160","All Killed and Injured Casualties (Number)","2010","Motor cyclists","Male","10 - 14 years",3
"2161","Killed Casualties (Number)","2011","Motor cyclists","Male","10 - 14 years",0
"2162","Injured Cassualties (Number)","2011","Motor cyclists","Male","10 - 14 years",2
"2163","All Killed and Injured Casualties (Number)","2011","Motor cyclists","Male","10 - 14 years",2
"2164","Killed Casualties (Number)","2012","Motor cyclists","Male","10 - 14 years",0
"2165","Injured Cassualties (Number)","2012","Motor cyclists","Male","10 - 14 years",1
"2166","All Killed and Injured Casualties (Number)","2012","Motor cyclists","Male","10 - 14 years",1
"2167","Killed Casualties (Number)","2013","Motor cyclists","Male","10 - 14 years",0
"2168","Injured Cassualties (Number)","2013","Motor cyclists","Male","10 - 14 years",2
"2169","All Killed and Injured Casualties (Number)","2013","Motor cyclists","Male","10 - 14 years",2
"2170","Killed Casualties (Number)","2014","Motor cyclists","Male","10 - 14 years",0
"2171","Injured Cassualties (Number)","2014","Motor cyclists","Male","10 - 14 years",2
"2172","All Killed and Injured Casualties (Number)","2014","Motor cyclists","Male","10 - 14 years",2
"2173","Killed Casualties (Number)","2015","Motor cyclists","Male","10 - 14 years",0
"2174","Injured Cassualties (Number)","2015","Motor cyclists","Male","10 - 14 years",0
"2175","All Killed and Injured Casualties (Number)","2015","Motor cyclists","Male","10 - 14 years",0
"2176","Killed Casualties (Number)","2016","Motor cyclists","Male","10 - 14 years",0
"2177","Injured Cassualties (Number)","2016","Motor cyclists","Male","10 - 14 years",2
"2178","All Killed and Injured Casualties (Number)","2016","Motor cyclists","Male","10 - 14 years",2
"2179","Killed Casualties (Number)","2017","Motor cyclists","Male","10 - 14 years",0
"2180","Injured Cassualties (Number)","2017","Motor cyclists","Male","10 - 14 years",1
"2181","All Killed and Injured Casualties (Number)","2017","Motor cyclists","Male","10 - 14 years",1
"2182","Killed Casualties (Number)","2018","Motor cyclists","Male","10 - 14 years",0
"2183","Injured Cassualties (Number)","2018","Motor cyclists","Male","10 - 14 years",2
"2184","All Killed and Injured Casualties (Number)","2018","Motor cyclists","Male","10 - 14 years",2
"2185","Killed Casualties (Number)","2005","All Car users","Male","10 - 14 years",1
"2186","Injured Cassualties (Number)","2005","All Car users","Male","10 - 14 years",53
"2187","All Killed and Injured Casualties (Number)","2005","All Car users","Male","10 - 14 years",54
"2188","Killed Casualties (Number)","2006","All Car users","Male","10 - 14 years",1
"2189","Injured Cassualties (Number)","2006","All Car users","Male","10 - 14 years",45
"2190","All Killed and Injured Casualties (Number)","2006","All Car users","Male","10 - 14 years",46
"2191","Killed Casualties (Number)","2007","All Car users","Male","10 - 14 years",0
"2192","Injured Cassualties (Number)","2007","All Car users","Male","10 - 14 years",57
"2193","All Killed and Injured Casualties (Number)","2007","All Car users","Male","10 - 14 years",57
"2194","Killed Casualties (Number)","2008","All Car users","Male","10 - 14 years",2
"2195","Injured Cassualties (Number)","2008","All Car users","Male","10 - 14 years",76
"2196","All Killed and Injured Casualties (Number)","2008","All Car users","Male","10 - 14 years",78
"2197","Killed Casualties (Number)","2009","All Car users","Male","10 - 14 years",0
"2198","Injured Cassualties (Number)","2009","All Car users","Male","10 - 14 years",78
"2199","All Killed and Injured Casualties (Number)","2009","All Car users","Male","10 - 14 years",78
"2200","Killed Casualties (Number)","2010","All Car users","Male","10 - 14 years",0
"2201","Injured Cassualties (Number)","2010","All Car users","Male","10 - 14 years",70
"2202","All Killed and Injured Casualties (Number)","2010","All Car users","Male","10 - 14 years",70
"2203","Killed Casualties (Number)","2011","All Car users","Male","10 - 14 years",0
"2204","Injured Cassualties (Number)","2011","All Car users","Male","10 - 14 years",54
"2205","All Killed and Injured Casualties (Number)","2011","All Car users","Male","10 - 14 years",54
"2206","Killed Casualties (Number)","2012","All Car users","Male","10 - 14 years",0
"2207","Injured Cassualties (Number)","2012","All Car users","Male","10 - 14 years",62
"2208","All Killed and Injured Casualties (Number)","2012","All Car users","Male","10 - 14 years",62
"2209","Killed Casualties (Number)","2013","All Car users","Male","10 - 14 years",0
"2210","Injured Cassualties (Number)","2013","All Car users","Male","10 - 14 years",61
"2211","All Killed and Injured Casualties (Number)","2013","All Car users","Male","10 - 14 years",61
"2212","Killed Casualties (Number)","2014","All Car users","Male","10 - 14 years",0
"2213","Injured Cassualties (Number)","2014","All Car users","Male","10 - 14 years",83
"2214","All Killed and Injured Casualties (Number)","2014","All Car users","Male","10 - 14 years",83
"2215","Killed Casualties (Number)","2015","All Car users","Male","10 - 14 years",1
"2216","Injured Cassualties (Number)","2015","All Car users","Male","10 - 14 years",48
"2217","All Killed and Injured Casualties (Number)","2015","All Car users","Male","10 - 14 years",49
"2218","Killed Casualties (Number)","2016","All Car users","Male","10 - 14 years",2
"2219","Injured Cassualties (Number)","2016","All Car users","Male","10 - 14 years",55
"2220","All Killed and Injured Casualties (Number)","2016","All Car users","Male","10 - 14 years",57
"2221","Killed Casualties (Number)","2017","All Car users","Male","10 - 14 years",0
"2222","Injured Cassualties (Number)","2017","All Car users","Male","10 - 14 years",57
"2223","All Killed and Injured Casualties (Number)","2017","All Car users","Male","10 - 14 years",57
"2224","Killed Casualties (Number)","2018","All Car users","Male","10 - 14 years",2
"2225","Injured Cassualties (Number)","2018","All Car users","Male","10 - 14 years",68
"2226","All Killed and Injured Casualties (Number)","2018","All Car users","Male","10 - 14 years",70
"2227","Killed Casualties (Number)","2005","Car drivers","Male","10 - 14 years",0
"2228","Injured Cassualties (Number)","2005","Car drivers","Male","10 - 14 years",1
"2229","All Killed and Injured Casualties (Number)","2005","Car drivers","Male","10 - 14 years",1
"2230","Killed Casualties (Number)","2006","Car drivers","Male","10 - 14 years",0
"2231","Injured Cassualties (Number)","2006","Car drivers","Male","10 - 14 years",0
"2232","All Killed and Injured Casualties (Number)","2006","Car drivers","Male","10 - 14 years",0
"2233","Killed Casualties (Number)","2007","Car drivers","Male","10 - 14 years",0
"2234","Injured Cassualties (Number)","2007","Car drivers","Male","10 - 14 years",1
"2235","All Killed and Injured Casualties (Number)","2007","Car drivers","Male","10 - 14 years",1
"2236","Killed Casualties (Number)","2008","Car drivers","Male","10 - 14 years",0
"2237","Injured Cassualties (Number)","2008","Car drivers","Male","10 - 14 years",1
"2238","All Killed and Injured Casualties (Number)","2008","Car drivers","Male","10 - 14 years",1
"2239","Killed Casualties (Number)","2009","Car drivers","Male","10 - 14 years",0
"2240","Injured Cassualties (Number)","2009","Car drivers","Male","10 - 14 years",3
"2241","All Killed and Injured Casualties (Number)","2009","Car drivers","Male","10 - 14 years",3
"2242","Killed Casualties (Number)","2010","Car drivers","Male","10 - 14 years",0
"2243","Injured Cassualties (Number)","2010","Car drivers","Male","10 - 14 years",1
"2244","All Killed and Injured Casualties (Number)","2010","Car drivers","Male","10 - 14 years",1
"2245","Killed Casualties (Number)","2011","Car drivers","Male","10 - 14 years",0
"2246","Injured Cassualties (Number)","2011","Car drivers","Male","10 - 14 years",0
"2247","All Killed and Injured Casualties (Number)","2011","Car drivers","Male","10 - 14 years",0
"2248","Killed Casualties (Number)","2012","Car drivers","Male","10 - 14 years",0
"2249","Injured Cassualties (Number)","2012","Car drivers","Male","10 - 14 years",0
"2250","All Killed and Injured Casualties (Number)","2012","Car drivers","Male","10 - 14 years",0
"2251","Killed Casualties (Number)","2013","Car drivers","Male","10 - 14 years",0
"2252","Injured Cassualties (Number)","2013","Car drivers","Male","10 - 14 years",1
"2253","All Killed and Injured Casualties (Number)","2013","Car drivers","Male","10 - 14 years",1
"2254","Killed Casualties (Number)","2014","Car drivers","Male","10 - 14 years",0
"2255","Injured Cassualties (Number)","2014","Car drivers","Male","10 - 14 years",1
"2256","All Killed and Injured Casualties (Number)","2014","Car drivers","Male","10 - 14 years",1
"2257","Killed Casualties (Number)","2015","Car drivers","Male","10 - 14 years",0
"2258","Injured Cassualties (Number)","2015","Car drivers","Male","10 - 14 years",1
"2259","All Killed and Injured Casualties (Number)","2015","Car drivers","Male","10 - 14 years",1
"2260","Killed Casualties (Number)","2016","Car drivers","Male","10 - 14 years",0
"2261","Injured Cassualties (Number)","2016","Car drivers","Male","10 - 14 years",1
"2262","All Killed and Injured Casualties (Number)","2016","Car drivers","Male","10 - 14 years",1
"2263","Killed Casualties (Number)","2017","Car drivers","Male","10 - 14 years",0
"2264","Injured Cassualties (Number)","2017","Car drivers","Male","10 - 14 years",0
"2265","All Killed and Injured Casualties (Number)","2017","Car drivers","Male","10 - 14 years",0
"2266","Killed Casualties (Number)","2018","Car drivers","Male","10 - 14 years",2
"2267","Injured Cassualties (Number)","2018","Car drivers","Male","10 - 14 years",0
"2268","All Killed and Injured Casualties (Number)","2018","Car drivers","Male","10 - 14 years",2
"2269","Killed Casualties (Number)","2005","Car passengers","Male","10 - 14 years",1
"2270","Injured Cassualties (Number)","2005","Car passengers","Male","10 - 14 years",52
"2271","All Killed and Injured Casualties (Number)","2005","Car passengers","Male","10 - 14 years",53
"2272","Killed Casualties (Number)","2006","Car passengers","Male","10 - 14 years",1
"2273","Injured Cassualties (Number)","2006","Car passengers","Male","10 - 14 years",45
"2274","All Killed and Injured Casualties (Number)","2006","Car passengers","Male","10 - 14 years",46
"2275","Killed Casualties (Number)","2007","Car passengers","Male","10 - 14 years",0
"2276","Injured Cassualties (Number)","2007","Car passengers","Male","10 - 14 years",56
"2277","All Killed and Injured Casualties (Number)","2007","Car passengers","Male","10 - 14 years",56
"2278","Killed Casualties (Number)","2008","Car passengers","Male","10 - 14 years",2
"2279","Injured Cassualties (Number)","2008","Car passengers","Male","10 - 14 years",75
"2280","All Killed and Injured Casualties (Number)","2008","Car passengers","Male","10 - 14 years",77
"2281","Killed Casualties (Number)","2009","Car passengers","Male","10 - 14 years",0
"2282","Injured Cassualties (Number)","2009","Car passengers","Male","10 - 14 years",75
"2283","All Killed and Injured Casualties (Number)","2009","Car passengers","Male","10 - 14 years",75
"2284","Killed Casualties (Number)","2010","Car passengers","Male","10 - 14 years",0
"2285","Injured Cassualties (Number)","2010","Car passengers","Male","10 - 14 years",69
"2286","All Killed and Injured Casualties (Number)","2010","Car passengers","Male","10 - 14 years",69
"2287","Killed Casualties (Number)","2011","Car passengers","Male","10 - 14 years",0
"2288","Injured Cassualties (Number)","2011","Car passengers","Male","10 - 14 years",54
"2289","All Killed and Injured Casualties (Number)","2011","Car passengers","Male","10 - 14 years",54
"2290","Killed Casualties (Number)","2012","Car passengers","Male","10 - 14 years",0
"2291","Injured Cassualties (Number)","2012","Car passengers","Male","10 - 14 years",62
"2292","All Killed and Injured Casualties (Number)","2012","Car passengers","Male","10 - 14 years",62
"2293","Killed Casualties (Number)","2013","Car passengers","Male","10 - 14 years",0
"2294","Injured Cassualties (Number)","2013","Car passengers","Male","10 - 14 years",60
"2295","All Killed and Injured Casualties (Number)","2013","Car passengers","Male","10 - 14 years",60
"2296","Killed Casualties (Number)","2014","Car passengers","Male","10 - 14 years",0
